HTTrack3.49-2+htsswf+htsjava launched on Fri, 12 Jul 2024 22:19:46 at https://www.duxnutrition.com/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "pt_BR, en, *" https://www.duxnutrition.com/ -O1 "C:\Meus Sites\copia1" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

22:23:02	Error: 	"Bad Request" (400) at link https://www.googletagmanager.com/gtm.js?id= (from https://www.duxnutrition.com/)
22:30:23	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/)
22:30:39	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/signals/iwl.js (from https://connect.facebook.net/en_US/fbevents.js)
22:33:29	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/proteinas/proteinas-puras/location.href (from https://www.duxnutrition.com/proteinas/proteinas-puras/whey-protein-concentrado)
22:33:35	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/proteinas/proteinas-puras/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/proteinas/proteinas-puras/whey-protein-concentrado)
22:33:37	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/wheyproteinhydro-pote900g/location.href (from https://www.duxnutrition.com/wheyproteinhydro-pote900g/p)
22:33:37	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/wheyproteinhydro-pote900g/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/wheyproteinhydro-pote900g/p)
22:33:37	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/proteinas/barrinha/location.href (from https://www.duxnutrition.com/proteinas/barrinha/barras-de-proteina)
22:33:37	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/proteinas/barrinha/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/proteinas/barrinha/barras-de-proteina)
22:33:37	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/proteinas/proteinas-naturais/location.href (from https://www.duxnutrition.com/proteinas/proteinas-naturais/fresh-whey)
22:33:37	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/proteinas/proteinas-naturais/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/proteinas/proteinas-naturais/fresh-whey)
22:33:42	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/body-collagen-protein/location.href (from https://www.duxnutrition.com/body-collagen-protein/p)
22:33:42	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/body-collagen-protein/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/body-collagen-protein/p)
22:33:42	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/aminobuilder-400g/location.href (from https://www.duxnutrition.com/aminobuilder-400g/p)
22:33:42	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/aminobuilder-400g/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/aminobuilder-400g/p)
22:33:42	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/aminoacidos/location.href (from https://www.duxnutrition.com/aminoacidos/bcaa)
22:33:42	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/aminoacidos/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/aminoacidos/bcaa)
22:33:42	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/beta-alanina-120g/location.href (from https://www.duxnutrition.com/beta-alanina-120g/p)
22:33:42	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/beta-alanina-120g/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/beta-alanina-120g/p)
22:33:42	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/intra-workout-700g/location.href (from https://www.duxnutrition.com/intra-workout-700g/p)
22:33:42	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/intra-workout-700g/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/intra-workout-700g/p)
22:33:42	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/skin-and-body/location.href (from https://www.duxnutrition.com/skin-and-body/pele)
22:33:42	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/skin-and-body/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/skin-and-body/pele)
22:33:42	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/cafeina-30-capsulas-411517/location.href (from https://www.duxnutrition.com/cafeina-30-capsulas-411517/p)
22:33:42	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/cafeina-30-capsulas-411517/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/cafeina-30-capsulas-411517/p)
22:33:42	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/lancamento/location.href (from https://www.duxnutrition.com/lancamento/q10)
22:33:52	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/lancamento/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/lancamento/q10)
22:33:54	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/vitaminas-e-nutrientes/vitaminas/location.href (from https://www.duxnutrition.com/vitaminas-e-nutrientes/vitaminas/multivitaminico)
22:33:54	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/vitaminas-e-nutrientes/vitaminas/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/vitaminas-e-nutrientes/vitaminas/multivitaminico)
22:33:54	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/propolis-verde/location.href (from https://www.duxnutrition.com/propolis-verde/p)
22:33:54	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/propolis-verde/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/propolis-verde/p)
22:33:54	Error: 	"Bad Request" (400) at link https://www.duxnutrition.com/vitaminas-e-nutrientes/location.href (from https://www.duxnutrition.com/vitaminas-e-nutrientes/Ômega-3)
22:33:54	Error: 	"Bad Request" (400) at link https://www.duxnutrition.com/vitaminas-e-nutrientes/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/vitaminas-e-nutrientes/Ômega-3)
22:33:54	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/vitamina-c-cristais-200g/location.href (from https://www.duxnutrition.com/vitamina-c-cristais-200g/p)
22:33:54	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/vitamina-c-cristais-200g/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/vitamina-c-cristais-200g/p)
22:33:54	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/vitamina-d3-k2-20ml/location.href (from https://www.duxnutrition.com/vitamina-d3-k2-20ml/p)
22:33:54	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/vitamina-d3-k2-20ml/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/vitamina-d3-k2-20ml/p)
22:33:54	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/pre-workout-original-300g/location.href (from https://www.duxnutrition.com/pre-workout-original-300g/p)
22:33:54	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/pre-workout-original-300g/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/pre-workout-original-300g/p)
22:33:54	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/pro-workout-600g/location.href (from https://www.duxnutrition.com/pro-workout-600g/p)
22:33:54	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/pro-workout-600g/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/pro-workout-600g/p)
22:33:54	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/emagrecedores/location.href (from https://www.duxnutrition.com/emagrecedores/emagrecedores-sem-estimulantes)
22:33:54	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/emagrecedores/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/emagrecedores/emagrecedores-sem-estimulantes)
22:33:54	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/formulas-especiais/location.href (from https://www.duxnutrition.com/formulas-especiais/energia-e-hidratacao)
22:33:54	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/formulas-especiais/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/formulas-especiais/energia-e-hidratacao)
22:34:03	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/acessorios-e-vestuario/location.href (from https://www.duxnutrition.com/acessorios-e-vestuario/vestuarios)
22:34:03	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/acessorios-e-vestuario/vtex.keep-alive. No defined endpoints to keep alive. You can configure them in /admin/apps/ (from https://www.duxnutrition.com/acessorios-e-vestuario/vestuarios)
22:34:03	Error: 	"Bad Request" (400) at link https://www.duxnutrition.com/acessorios-e-vestuario/hidratacao (from https://www.duxnutrition.com/acessorios-e-vestuario/hidratação)
22:35:54	Error: 	"Not Found" (404) at link https://www.duxnutrition.com/creatina-creavitalis-300g/location.href (from https://www.duxnutrition.com/creatina-creavitalis-300g/p)
